library,objective,cell,bank,optimizer,position_rmse_mean_m,position_rmse_max_m,velocity_rmse_mean_mps,velocity_rmse_max_mps,terminal_speed_max_mps,tracking_and_braking_pass,operational_pass
learned,balanced_reference_braking,effectiveness,fresh_validation16,reset,0.052816905081272125,0.25904932618141174,0.08897741138935089,0.351195365190506,0.7605429887771606,True,True
learned,legacy,nominal,fresh_validation16,persistent,0.010953469201922417,0.020249290391802788,0.016292817890644073,0.029774295166134834,0.6566876173019409,True,True
learned,legacy,nominal,fresh_validation16,reset,0.010655461810529232,0.02039387822151184,0.01577490195631981,0.02995256707072258,0.6569719314575195,True,True
learned,legacy,effectiveness,fresh_validation16,persistent,0.05147071182727814,0.24681799113750458,0.09637492895126343,0.33677905797958374,0.8533843755722046,False,True
learned,legacy,effectiveness,fresh_validation16,reset,0.04827629029750824,0.2630896270275116,0.09490800648927689,0.35809579491615295,0.8702858090400696,False,True
learned,balanced_reference,nominal,fresh_validation16,persistent,0.00020822072110604495,0.0004276659747119993,0.00039215610013343394,0.0007412837585434318,0.6654386520385742,True,True
learned,balanced_reference,nominal,fresh_validation16,reset,0.0002246802905574441,0.0005425773561000824,0.00036490324418991804,0.0008199375006370246,0.6653561592102051,True,True
learned,balanced_reference,effectiveness,fresh_validation16,persistent,0.0465221181511879,0.24199245870113373,0.09560035169124603,0.32808104157447815,0.8021053075790405,False,True
learned,balanced_reference,effectiveness,fresh_validation16,reset,0.045937053859233856,0.249553844332695,0.09718780964612961,0.3381716012954712,0.8031190633773804,False,True
PD,F2,nominal,development27,frozen,1.8479656205272477e-07,3.5890707295038737e-06,4.946364242641721e-07,7.557478056696709e-06,0.1641884446144104,True,True
PD,F2,nominal,fresh_validation16,frozen,1.989030380400436e-07,1.906878992485872e-06,5.579696562563186e-07,3.8727926039427985e-06,0.16947691142559052,True,True
PD,balanced_reference_braking,nominal,development27,persistent,1.110852917918237e-05,4.0502949559595436e-05,1.7650389054324478e-05,6.035747719579376e-05,0.16418279707431793,True,True
PD,balanced_reference_braking,nominal,fresh_validation16,persistent,1.2117046935600229e-05,4.3922977056354284e-05,1.896743015095126e-05,6.534928979817778e-05,0.1694696545600891,True,True
PD,F2,effectiveness,development27,frozen,0.11744910478591919,0.3866022527217865,0.1610535830259323,0.5285310745239258,0.26659858226776123,False,True
PD,F2,effectiveness,fresh_validation16,frozen,0.1136651337146759,0.5062357187271118,0.15569627285003662,0.6969292759895325,0.42307382822036743,False,True
PD,balanced_reference_braking,effectiveness,development27,persistent,0.085153728723526,0.3262931704521179,0.12327638268470764,0.4465550482273102,0.1905028522014618,False,True
PD,balanced_reference_braking,effectiveness,fresh_validation16,persistent,0.08485054969787598,0.4548368453979492,0.12188601493835449,0.6240299344062805,0.3280692398548126,False,True
