phase,case,method,physical_world_id,termination,physical_seconds,collision,safe_return,operational_pass,time_near_home_seconds,max_home_distance_m,final_home_distance_m,final_speed_mps,adaptive_only_triplet
search-v1,case-002,PD_F,world-3341c2f01696609ce71e3afb51ae9fe749457b65115178becc6bbcae979a6c5e,duration_complete,32.0,False,False,False,4.435000000000001,5.7566631005435696,0.06679256964115823,0.0613479455940253,False
search-v1,case-003,A_BAL,world-582083d228dd8e24daeb036f15de8a5a2606f813c9f84dea14f9a477bcd5557d,physical_collision,20.024999999999995,True,False,True,8.129999999999994,3.1978145752594807,0.8204105325178799,0.42933532949726855,False
search-v1,case-003,F2,world-582083d228dd8e24daeb036f15de8a5a2606f813c9f84dea14f9a477bcd5557d,duration_complete,32.0,False,False,True,9.544999999999993,5.12401514361609,0.008194046709405737,0.009729554559791881,False
search-v1,case-003,PD_F,world-582083d228dd8e24daeb036f15de8a5a2606f813c9f84dea14f9a477bcd5557d,physical_collision,4.135,True,False,True,2.3149999999999995,0.8990140302480886,0.8990140302480886,0.3438318482766832,False
search-v1,case-004,A_BAL,world-b2246f08b3cd805f31c492f416a5365a20ba67f10c43d9c2a7ec9d784945abaa,duration_complete,32.0,False,True,True,10.334999999999997,3.985337240629882,0.003297231486541241,0.003530251657230479,False
search-v1,case-004,F2,world-b2246f08b3cd805f31c492f416a5365a20ba67f10c43d9c2a7ec9d784945abaa,duration_complete,32.0,False,False,True,9.349999999999998,3.9700990658151363,0.0035811150334807973,0.0038394455684186983,False
search-v1,case-004,PD_F,world-b2246f08b3cd805f31c492f416a5365a20ba67f10c43d9c2a7ec9d784945abaa,physical_collision,3.1149999999999993,True,False,True,1.8699999999999994,0.732672823667854,0.732672823667854,0.45079409604445764,False
search-v1,case-005,A_BAL,world-0644023183ecc982afefffb3e427115e55ea99c74ffdc21f1df8dcee78816bf0,duration_complete,32.0,False,True,True,7.440000000000007,4.176389076913699,0.002772626303204022,0.0036546145762224877,False
search-v1,case-005,F2,world-0644023183ecc982afefffb3e427115e55ea99c74ffdc21f1df8dcee78816bf0,duration_complete,32.0,False,True,True,7.370000000000005,3.8786401395935046,0.004169683095729386,0.0048243955552098525,False
search-v1,case-005,PD_F,world-0644023183ecc982afefffb3e427115e55ea99c74ffdc21f1df8dcee78816bf0,duration_complete,32.0,False,True,True,7.914999999999993,4.561307448928981,0.0028029490785998743,0.0035467408514074793,False
search-v1,case-006,A_BAL,world-1274e2b805e0cd5c0ea51c523727028c1b19d5dac54f2ab012df8f48d77f5391,duration_complete,32.0,False,True,True,16.385,1.9730731683725085,0.00039840816037633385,0.00043291416938655026,False
search-v1,case-006,F2,world-1274e2b805e0cd5c0ea51c523727028c1b19d5dac54f2ab012df8f48d77f5391,duration_complete,32.0,False,True,True,14.255000000000003,2.6033036650431054,0.00046418355466293804,0.0005024301916755626,False
search-v1,case-006,PD_F,world-1274e2b805e0cd5c0ea51c523727028c1b19d5dac54f2ab012df8f48d77f5391,physical_collision,3.045,True,False,True,2.7849999999999993,0.21285858256470416,0.1039294763044279,0.37760562378501805,False
search-v1,case-007,A_BAL,world-523fd955f3cb66e8fcd678e852494055f1d4ad6023cbd398fb7d54a951170f5f,duration_complete,32.0,False,True,True,16.445000000000007,2.0235168972595616,0.00042004642079629834,0.0004521809905071019,False
search-v1,case-007,F2,world-523fd955f3cb66e8fcd678e852494055f1d4ad6023cbd398fb7d54a951170f5f,duration_complete,32.0,False,True,True,17.18,2.1256259416308425,0.000401543714652795,0.0004328863698728643,False
search-v1,case-007,PD_F,world-523fd955f3cb66e8fcd678e852494055f1d4ad6023cbd398fb7d54a951170f5f,duration_complete,32.0,False,True,True,13.069999999999999,2.5734775410448747,0.0008207588792789216,0.0008817216152581317,False
search-v1,case-008,A_BAL,world-57ad4045db72801bc35ff3c9ce2ec7a2bb728fcc9e3b56db189cd44dc55364ba,physical_collision,19.77,True,False,True,4.774999999999996,1.9238674128760962,0.6191803782470289,0.44204362861344426,False
search-v1,case-008,F2,world-57ad4045db72801bc35ff3c9ce2ec7a2bb728fcc9e3b56db189cd44dc55364ba,duration_complete,32.0,False,False,True,6.300000000000011,3.015167652456395,0.00979401288214912,0.010629314465375983,False
search-v1,case-008,PD_F,world-57ad4045db72801bc35ff3c9ce2ec7a2bb728fcc9e3b56db189cd44dc55364ba,duration_complete,32.0,False,True,True,7.775000000000009,3.0031283749131736,0.009388051754384105,0.010170209188555724,False
search-v1,case-009,A_BAL,world-3d9008660775d0ed797099e794ea6cc10378ae09e3bef909bf6d7bc9d82e0d7f,duration_complete,32.0,False,True,True,23.185000000000006,1.118227200702686,0.00038299569942504806,0.0004112160587255847,False
search-v1,case-009,F2,world-3d9008660775d0ed797099e794ea6cc10378ae09e3bef909bf6d7bc9d82e0d7f,duration_complete,32.0,False,True,True,20.360000000000007,1.7277574267395674,0.0010063974202222732,0.0010821273771891562,False
search-v1,case-009,PD_F,world-3d9008660775d0ed797099e794ea6cc10378ae09e3bef909bf6d7bc9d82e0d7f,duration_complete,32.0,False,True,True,18.695000000000004,1.8671225955824882,0.0011149493430067238,0.0011986791749491626,False
search-v1,case-010,A_BAL,world-4ae97adfba5590ebb0bdb2c8089dbd030a1fda19fcafdade682c118d3058856b,duration_complete,32.0,False,False,True,9.489999999999998,3.6777616851871198,0.00559612587276181,0.00600035357886729,False
search-v1,case-010,F2,world-4ae97adfba5590ebb0bdb2c8089dbd030a1fda19fcafdade682c118d3058856b,duration_complete,32.0,False,False,True,7.740000000000007,5.990538148364311,0.001130680796141312,0.001216031654594213,False
search-v1,case-010,PD_F,world-4ae97adfba5590ebb0bdb2c8089dbd030a1fda19fcafdade682c118d3058856b,duration_complete,32.0,False,False,True,9.345,4.5771975434203505,0.0009842946898818766,0.001295106160362974,False
search-v1,case-011,A_BAL,world-acf25559dc86498bd3ce578b0155022c26613878ff15c721db42b934e94b39bf,physical_collision,2.65,True,False,True,2.1500000000000004,0.35671520760626174,0.3429481564271446,0.23274707407240172,False
search-v1,case-011,F2,world-acf25559dc86498bd3ce578b0155022c26613878ff15c721db42b934e94b39bf,physical_collision,2.65,True,False,True,2.1500000000000004,0.3562982839055122,0.3426557658456058,0.23260163045654714,False
search-v1,case-011,PD_F,world-acf25559dc86498bd3ce578b0155022c26613878ff15c721db42b934e94b39bf,physical_collision,2.8299999999999996,True,False,True,1.865,0.5867824120044379,0.5150596927600426,0.40238172014299395,False
search-v1,case-012,A_BAL,world-bdf8306a26a78e1e422f2db9980424ab5f26a90c19a7485302dce8b6bae4fce0,physical_collision,2.78,True,False,True,2.78,0.13422175169703368,0.13422175169703368,0.347684774916242,False
search-v1,case-012,F2,world-bdf8306a26a78e1e422f2db9980424ab5f26a90c19a7485302dce8b6bae4fce0,physical_collision,2.7099999999999995,True,False,True,2.52,0.17986335101027184,0.17986335101027184,0.3849883193461647,False
