actual_collision,cell,collider_clearance_lower_m,control_count,controller_deadline_any,controller_deadline_miss_rate,controller_mean_seconds,controller_p95_seconds,diagnostic_callback_seconds,enclosure_clearance_lower_m,execution_wall_per_physical_second,execution_wall_seconds,learner_mean_seconds,library_seed,method,n_episodes,operational_violation,physical_time_seconds,physical_world_id,role,safe_task_completion,simulator_and_audit_seconds,statistic,termination
0,structured_effectiveness,0.17605092775960277,350,0,0.0,0.015199709972366691,0.015767736872658134,0.0,0.15718354514082922,0.4377233646144824,6.128127104602754,0.0,23,DR,,0,14.0,world-aa691d45991be3dfae49d24a0c2783abfb52e20ac7d265ca5cec8b3aa03949a0,main,1.0,0.5648079430684447,,duration_complete
0,structured_effectiveness,0.1752450754559383,350,0,0.0,0.017607325525688274,0.02025722234975547,0.0,0.15749155747942256,1.019868922220277,14.278164911083877,0.02010153119851436,23,A,,0,14.0,world-aa691d45991be3dfae49d24a0c2783abfb52e20ac7d265ca5cec8b3aa03949a0,main,1.0,0.5756582766771317,,duration_complete
0,structured_effectiveness,0.18628150813523367,350,1,0.2571428571428571,0.016865917033116733,0.04533531263004988,0.0,0.15000833173817685,0.4767007217077272,6.673810103908181,0.0,23,OPT,,0,14.0,world-aa691d45991be3dfae49d24a0c2783abfb52e20ac7d265ca5cec8b3aa03949a0,main,1.0,0.6059935004450381,,duration_complete
0,structured_effectiveness,0.17614508880957547,350,0,0.0,0.015397830210360033,0.016027757129631937,0.0,0.15716749621850823,0.4428685500752181,6.200159701053053,0.0,37,F2,,0,14.0,world-aa691d45991be3dfae49d24a0c2783abfb52e20ac7d265ca5cec8b3aa03949a0,main,1.0,0.5758101618848741,,duration_complete
0,structured_effectiveness,0.1763903029590815,350,0,0.0,0.015338275455204504,0.015902514243498443,0.0,0.15719066816917504,0.44129439872423454,6.178121582139283,0.0,37,DR,,0,14.0,world-aa691d45991be3dfae49d24a0c2783abfb52e20ac7d265ca5cec8b3aa03949a0,main,1.0,0.5808863108977675,,duration_complete
0,structured_effectiveness,0.17518517577760076,350,0,0.0,0.017336434933489988,0.019548172131180763,0.0,0.15738793924540884,1.004915082993518,14.068811161909252,0.019845884307952862,37,A,,0,14.0,world-aa691d45991be3dfae49d24a0c2783abfb52e20ac7d265ca5cec8b3aa03949a0,main,1.0,0.5556878731586039,,duration_complete
1,structured_effectiveness,-0.0003733763979536664,116,1,0.31896551724137934,0.02052634512877156,0.05353600159287453,0.0,-0.02478350245603733,0.5756192593426642,2.6564828818663955,0.0,37,OPT,,0,4.615,world-aa691d45991be3dfae49d24a0c2783abfb52e20ac7d265ca5cec8b3aa03949a0,main,0.0,0.2236281856894493,,physical_collision
0,structured_effectiveness,0.17564261943302123,350,0,0.0,0.015287647815421223,0.015810749516822396,0.0,0.15891660580522426,0.4393732534455402,6.151225548237562,0.0,11,F2,,0,14.0,world-671f193811cb4b8323bb0a8744584c14bdf4560a11ee9de9d6b3bd778e0708aa,main,1.0,0.563676128629595,,duration_complete
0,structured_effectiveness,0.17470220135499423,350,0,0.0,0.015331296628074987,0.015810546441935004,0.0,0.15534254327383268,0.440977794783456,6.173689126968384,0.0,11,DR,,0,14.0,world-671f193811cb4b8323bb0a8744584c14bdf4560a11ee9de9d6b3bd778e0708aa,main,1.0,0.5661658481694758,,duration_complete
0,structured_effectiveness,0.168738614336824,350,0,0.0,0.02028266718345029,0.025270128808915614,0.0,0.1578036627485846,1.0672269447906209,14.941177227068692,0.01954768861377878,11,A,,1,14.0,world-671f193811cb4b8323bb0a8744584c14bdf4560a11ee9de9d6b3bd778e0708aa,main,0.0,0.547588627319783,,duration_complete
