actual_config_differences,baseline_role,baseline_value,cell,difference,inference,library_seed,method,metric,physical_world_id,role,value
"[""plant_level""]",fine_p0,0.1672384745204047,navigation/combined/prescribed,0.002980588253193639,descriptive paired physical world; no crossed confidence interval,11,F2,collider_clearance_lower_m,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p2,0.17021906277359833
"[""plant_level""]",fine_p0,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,controller_deadline_miss_rate,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p2,0.0
"[""plant_level""]",fine_p0,0,navigation/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,A,actual_collision,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p2,0
"[""plant_level""]",fine_p0,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,safe_task_completion,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p2,0.0
"[""plant_level""]",fine_p0,0.17296107084925302,navigation/combined/prescribed,-0.0005451757831781423,descriptive paired physical world; no crossed confidence interval,11,A,collider_clearance_lower_m,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p2,0.17241589506607488
"[""plant_level""]",fine_p0,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,controller_deadline_miss_rate,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p2,0.0
"[""observation_config.effectiveness_bias""]",oracle,0,structured/combined/prescribed,1,descriptive paired physical world; no crossed confidence interval,11,F2,actual_collision,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,effectiveness_bias,1
"[""observation_config.effectiveness_bias""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,safe_task_completion,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,effectiveness_bias,0.0
"[""observation_config.effectiveness_bias""]",oracle,0.17295362207970075,structured/combined/prescribed,-0.17305449406394086,descriptive paired physical world; no crossed confidence interval,11,F2,collider_clearance_lower_m,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,effectiveness_bias,-0.00010087198424011094
"[""observation_config.effectiveness_bias""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,controller_deadline_miss_rate,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,effectiveness_bias,0.0
"[""observation_config.effectiveness_bias""]",oracle,0,structured/combined/prescribed,1,descriptive paired physical world; no crossed confidence interval,11,A,actual_collision,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,effectiveness_bias,1
"[""observation_config.effectiveness_bias""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,safe_task_completion,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,effectiveness_bias,0.0
"[""observation_config.effectiveness_bias""]",oracle,0.1755162508399283,structured/combined/prescribed,-0.17736938214648965,descriptive paired physical world; no crossed confidence interval,11,A,collider_clearance_lower_m,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,effectiveness_bias,-0.0018531313065613402
"[""observation_config.effectiveness_bias""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,controller_deadline_miss_rate,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,effectiveness_bias,0.0
"[""observation_config.effectiveness_bias""]",oracle,0,navigation/combined/prescribed,1,descriptive paired physical world; no crossed confidence interval,11,F2,actual_collision,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,effectiveness_bias,1
"[""observation_config.effectiveness_bias""]",oracle,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,safe_task_completion,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,effectiveness_bias,0.0
"[""observation_config.effectiveness_bias""]",oracle,0.17336526030856134,navigation/combined/prescribed,-0.17392142904795707,descriptive paired physical world; no crossed confidence interval,11,F2,collider_clearance_lower_m,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,effectiveness_bias,-0.0005561687393957461
"[""observation_config.effectiveness_bias""]",oracle,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,controller_deadline_miss_rate,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,effectiveness_bias,0.0
"[""observation_config.effectiveness_bias""]",oracle,0,navigation/combined/prescribed,1,descriptive paired physical world; no crossed confidence interval,11,A,actual_collision,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,effectiveness_bias,1
"[""observation_config.effectiveness_bias""]",oracle,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,safe_task_completion,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,effectiveness_bias,0.0
"[""observation_config.effectiveness_bias""]",oracle,0.17198413088891082,navigation/combined/prescribed,-0.17260244378789072,descriptive paired physical world; no crossed confidence interval,11,A,collider_clearance_lower_m,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,effectiveness_bias,-0.0006183128989799123
"[""observation_config.effectiveness_bias""]",oracle,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,controller_deadline_miss_rate,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,effectiveness_bias,0.0
"[""observation_config.lag_scale""]",oracle,0,structured/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,F2,actual_collision,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,lag_scale,0
