K,component,observation,repetition,seconds
8,controller,structured_nominal,15,0.014837797731161118
8,learner,structured_combined,15,0.015609315130859613
8,controller,structured_combined,15,0.014394721947610378
8,learner,navigation_nominal,15,0.015490824822336435
8,controller,navigation_nominal,15,0.014368284028023481
8,learner,navigation_combined,15,0.015666860155761242
8,controller,navigation_combined,15,0.014798573218286037
4,learner,structured_nominal,15,0.015375902876257896
4,controller,structured_nominal,15,0.01409461023285985
4,learner,structured_combined,15,0.015291823074221611
4,controller,structured_combined,15,0.01376862172037363
4,learner,navigation_nominal,15,0.015151787083595991
4,controller,navigation_nominal,15,0.013625107705593109
4,learner,navigation_combined,15,0.015259580686688423
4,controller,navigation_combined,15,0.013762372080236673
32,learner,structured_nominal,15,0.016526306979358196
32,controller,structured_nominal,15,0.014055962208658457
32,learner,structured_combined,15,0.016520478297024965
32,controller,structured_combined,15,0.013988554943352938
32,learner,navigation_nominal,15,0.016584777273237705
32,controller,navigation_nominal,15,0.014241877943277359
32,learner,navigation_combined,15,0.01658626738935709
32,controller,navigation_combined,15,0.014282004907727242
4,controller,structured_nominal,16,0.013890530914068222
4,learner,structured_nominal,16,0.01547658210620284
4,controller,structured_combined,16,0.013611175119876862
4,learner,structured_combined,16,0.015273015014827251
4,controller,navigation_nominal,16,0.013788823038339615
4,learner,navigation_nominal,16,0.015251231379806995
4,controller,navigation_combined,16,0.013974559959024191
4,learner,navigation_combined,16,0.015305982436984777
8,controller,structured_nominal,16,0.014471780974417925
8,learner,structured_nominal,16,0.01558754500001669
8,controller,structured_combined,16,0.014351028949022293
8,learner,structured_combined,16,0.01559081906452775
8,controller,navigation_nominal,16,0.014380617998540401
8,learner,navigation_nominal,16,0.01549945492297411
8,controller,navigation_combined,16,0.014500183053314686
8,learner,navigation_combined,16,0.015573543030768633
16,controller,structured_nominal,16,0.013685947749763727
16,learner,structured_nominal,16,0.016077705658972263
16,controller,structured_combined,16,0.013650748878717422
16,learner,structured_combined,16,0.015969881787896156
16,controller,navigation_nominal,16,0.013693916145712137
16,learner,navigation_nominal,16,0.01599087892100215
16,controller,navigation_combined,16,0.013733218889683485
16,learner,navigation_combined,16,0.015831125900149345
32,controller,structured_nominal,16,0.014594533015042543
32,learner,structured_nominal,16,0.016488421242684126
32,controller,structured_combined,16,0.014467190951108932
32,learner,structured_combined,16,0.016359935980290174
32,controller,navigation_nominal,16,0.014416773803532124
32,learner,navigation_nominal,16,0.016421901993453503
32,controller,navigation_combined,16,0.014193207025527954
32,learner,navigation_combined,16,0.016405953094363213
8,learner,structured_nominal,17,0.015939549077302217
8,controller,structured_nominal,17,0.01642175717279315
8,learner,structured_combined,17,0.015696807764470577
8,controller,structured_combined,17,0.014958702959120274
8,learner,navigation_nominal,17,0.015505278017371893
8,controller,navigation_nominal,17,0.014577336143702269
8,learner,navigation_combined,17,0.015428951010107994
8,controller,navigation_combined,17,0.014084945898503065
16,learner,structured_nominal,17,0.015920833684504032
16,controller,structured_nominal,17,0.013291773851960897
16,learner,structured_combined,17,0.015875925309956074
16,controller,structured_combined,17,0.013182505965232849
16,learner,navigation_nominal,17,0.015905017964541912
16,controller,navigation_nominal,17,0.013327667023986578
16,learner,navigation_combined,17,0.01589231099933386
16,controller,navigation_combined,17,0.013140718918293715
32,learner,structured_nominal,17,0.01642345730215311
32,controller,structured_nominal,17,0.013960542157292366
32,learner,structured_combined,17,0.016355644911527634
32,controller,structured_combined,17,0.013719226699322462
32,learner,navigation_nominal,17,0.01631645066663623
32,controller,navigation_nominal,17,0.01375696063041687
32,learner,navigation_combined,17,0.016296769957989454
32,controller,navigation_combined,17,0.013671596068888903
4,learner,structured_nominal,17,0.015243093948811293
4,controller,structured_nominal,17,0.013505090028047562
4,learner,structured_combined,17,0.01523662218824029
4,controller,structured_combined,17,0.0147424740716815
4,learner,navigation_nominal,17,0.015312838833779097
4,controller,navigation_nominal,17,0.01467192592099309
4,learner,navigation_combined,17,0.015563888009637594
4,controller,navigation_combined,17,0.017310844268649817
16,controller,structured_nominal,18,0.013603814877569675
16,learner,structured_nominal,18,0.01596211874857545
16,controller,structured_combined,18,0.013351141940802336
16,learner,structured_combined,18,0.01594839384779334
16,controller,navigation_nominal,18,0.013728532008826733
16,learner,navigation_nominal,18,0.01582056423649192
16,controller,navigation_combined,18,0.013791757170110941
16,learner,navigation_combined,18,0.015944148879498243
32,controller,structured_nominal,18,0.014608754310756922
32,learner,structured_nominal,18,0.016425621695816517
32,controller,structured_combined,18,0.014209832064807415
32,learner,structured_combined,18,0.016520960722118616
32,controller,navigation_nominal,18,0.014497311785817146
32,learner,navigation_nominal,18,0.01641373336315155
32,controller,navigation_combined,18,0.014369490090757608
32,learner,navigation_combined,18,0.016397873405367136
4,controller,structured_nominal,18,0.01442908775061369
4,learner,structured_nominal,18,0.015407042112201452
4,controller,structured_combined,18,0.013738007750362158
4,learner,structured_combined,18,0.015275105834007263
4,controller,navigation_nominal,18,0.013866660185158253
4,learner,navigation_nominal,18,0.015226929914206266
4,controller,navigation_combined,18,0.013605377171188593
4,learner,navigation_combined,18,0.015385454054921865
8,controller,structured_nominal,18,0.014458561781793833
8,learner,structured_nominal,18,0.015580162871629
8,controller,structured_combined,18,0.014566777274012566
8,learner,structured_combined,18,0.015429194085299969
8,controller,navigation_nominal,18,0.014684617053717375
8,learner,navigation_nominal,18,0.015509961172938347
