available_after_seconds,common_grid,library_version,maximum,method,metric,minimum,operational_pass,seed,statistic,tracking_and_braking_pass,updates,value
0.6309319008141756,False,161,,A,velocity_rmse_max_mps,,True,37,,False,33,0.6589146852493286
0.914762930944562,True,176,,A,position_rmse_max_m,,True,37,,False,48,0.43379291892051697
0.914762930944562,True,176,,A,terminal_speed_max_mps,,True,37,,False,48,1.0640194416046143
0.914762930944562,True,176,,A,velocity_rmse_max_mps,,True,37,,False,48,0.6093574166297913
1.1980972210876644,False,191,,A,position_rmse_max_m,,True,37,,False,63,0.41784974932670593
1.1980972210876644,False,191,,A,terminal_speed_max_mps,,True,37,,False,63,1.0539608001708984
1.1980972210876644,False,191,,A,velocity_rmse_max_mps,,True,37,,False,63,0.5854682922363281
1.2167541519738734,True,192,,A,position_rmse_max_m,,True,37,,False,64,0.41693711280822754
1.2167541519738734,True,192,,A,terminal_speed_max_mps,,True,37,,False,64,1.0527044534683228
1.2167541519738734,True,192,,A,velocity_rmse_max_mps,,True,37,,False,64,0.5841120481491089
1.51825314713642,True,208,,A,position_rmse_max_m,,True,37,,False,80,0.40335455536842346
1.51825314713642,True,208,,A,terminal_speed_max_mps,,True,37,,False,80,1.0311695337295532
1.51825314713642,True,208,,A,velocity_rmse_max_mps,,True,37,,False,80,0.5640667080879211
1.8177423649467528,True,224,,A,position_rmse_max_m,,True,37,,False,96,0.3903777003288269
1.8177423649467528,True,224,,A,terminal_speed_max_mps,,True,37,,False,96,1.0100895166397095
1.8177423649467528,True,224,,A,velocity_rmse_max_mps,,True,37,,False,96,0.5450895428657532
2.114056102000177,True,240,,A,position_rmse_max_m,,True,37,,False,112,0.37972626090049744
2.114056102000177,True,240,,A,terminal_speed_max_mps,,True,37,,False,112,0.992763340473175
2.114056102000177,True,240,,A,velocity_rmse_max_mps,,True,37,,False,112,0.5272299647331238
2.4057464068755507,True,256,,A,position_rmse_max_m,,True,37,,False,128,0.37331119179725647
2.4057464068755507,True,256,,A,terminal_speed_max_mps,,True,37,,False,128,0.9747987389564514
2.4057464068755507,True,256,,A,velocity_rmse_max_mps,,True,37,,False,128,0.510961651802063
,True,,,F2,position_rmse_max_m,,False,37,,False,0,0.7915827035903931
,True,,,F2,terminal_speed_max_mps,,False,37,,False,0,1.5432788133621216
,True,,,F2,velocity_rmse_max_mps,,False,37,,False,0,1.1940410137176514
,True,,,DR,position_rmse_max_m,,True,37,,False,0,0.5359569787979126
,True,,,DR,terminal_speed_max_mps,,True,37,,False,0,1.0193103551864624
,True,,,DR,velocity_rmse_max_mps,,True,37,,False,0,0.7808421850204468
,,,0.7971785664558411,A,position_rmse_max_m,0.7915827035903931,,,three_seed_summary,,0,0.794234057267507
,,,0.6377554535865784,A,position_rmse_max_m,0.6167935132980347,,,three_seed_summary,,16,0.6294945081075033
,,,0.4706222414970398,A,position_rmse_max_m,0.4694264829158783,,,three_seed_summary,,32,0.4700397153695424
,,,0.43379291892051697,A,position_rmse_max_m,0.42863723635673523,,,three_seed_summary,,48,0.43128304680188495
,,,0.41693711280822754,A,position_rmse_max_m,0.41158202290534973,,,three_seed_summary,,64,0.41447781523068744
,,,0.40335455536842346,A,position_rmse_max_m,0.39852461218833923,,,three_seed_summary,,80,0.40113505721092224
,,,0.3903777003288269,A,position_rmse_max_m,0.38649603724479675,,,three_seed_summary,,96,0.388393630584081
,,,0.37972626090049744,A,position_rmse_max_m,0.3760140836238861,,,three_seed_summary,,112,0.3775476614634196
,,,0.37331119179725647,A,position_rmse_max_m,0.3661630153656006,,,three_seed_summary,,128,0.3700420955816905
,,,0.7971785664558411,F2,position_rmse_max_m,0.7915827035903931,,,three_seed_summary,,,0.794234057267507
,,,0.5359569787979126,DR,position_rmse_max_m,0.4473588764667511,,,three_seed_summary,,,0.5016757349173228
,,,1.5466240644454956,A,terminal_speed_max_mps,1.5299726724624634,,,three_seed_summary,,0,1.5399585167566936
,,,1.1082454919815063,A,terminal_speed_max_mps,1.052506685256958,,,three_seed_summary,,16,1.089457392692566
,,,1.0235176086425781,A,terminal_speed_max_mps,0.984011173248291,,,three_seed_summary,,32,1.007983962694804
,,,1.0652364492416382,A,terminal_speed_max_mps,1.0606962442398071,,,three_seed_summary,,48,1.0633173783620198
,,,1.0571423768997192,A,terminal_speed_max_mps,1.0504040718078613,,,three_seed_summary,,64,1.0534169673919678
,,,1.038323998451233,A,terminal_speed_max_mps,1.027646780014038,,,three_seed_summary,,80,1.0323801040649414
,,,1.0173643827438354,A,terminal_speed_max_mps,1.0081281661987305,,,three_seed_summary,,96,1.011860688527425
,,,0.9997857809066772,A,terminal_speed_max_mps,0.992763340473175,,,three_seed_summary,,112,0.9952312707901001
,,,0.9832994341850281,A,terminal_speed_max_mps,0.9747987389564514,,,three_seed_summary,,128,0.9781057635943095
,,,1.5466240644454956,F2,terminal_speed_max_mps,1.5299726724624634,,,three_seed_summary,,,1.5399585167566936
,,,1.0193103551864624,DR,terminal_speed_max_mps,0.9992429614067078,,,three_seed_summary,,,1.006658136844635
